,title,author,sentences,tokens,words,unique words
0,Fortunata y Jacinta,Benito Pérez Galdós,23279,469256,386505,28795
1,Gerona,Benito Pérez Galdós,3058,71742,60405,9888
2,La corte de Carlos IV,Benito Pérez Galdós,3460,81242,68370,10525
3,La de Bringas,Benito Pérez Galdós,3666,83676,70307,11477
4,Marianela,Benito Pérez Galdós,3059,60722,49980,8126
5,Misericordia,Benito Pérez Galdós,4175,100143,81381,12310
6,Napoleón en Chamartín,Benito Pérez Galdós,3869,90710,75077,11461
7,Trafalgar,Benito Pérez Galdós,2060,59558,50159,8304
8,La prueba,Emilia Pardo Bazán,3584,74508,61160,11651
9,La tribuna,Emilia Pardo Bazán,2991,77267,63784,12736
10,Los pazos de Ulloa,Emilia Pardo Bazán,3823,98456,82544,14796
11,Un viaje de novios,Emilia Pardo Bazán,3198,82121,67872,13049
12,Una cristiana,Emilia Pardo Bazán,3208,69259,57559,11727
13,Algo de todo,Juan Valera,1915,65231,56054,10029
14,De varios colores,Juan Valera,2480,61936,53615,9849
15,Doña Luz,Juan Valera,2447,68220,58291,9280
16,Genio y figura,Juan Valera,2022,59908,52426,9487
17,Juanita la Larga,Juan Valera,2747,81442,71300,11508
18,Morsamor,Juan Valera,3158,94424,83626,13396
19,Pasarse de listo,Juan Valera,2502,58722,50095,8335
20,Pepita Jiménez,Juan Valera,2528,65430,55913,9365
